endorsement_id,athlete_id,brand_name,deal_value_usd,start_date,end_date,category,is_exclusive,contract_status
1,1,TAG Heuer,34622384.68,2023-03-01,2027-05-01,Watches,FALSE,active
2,1,EA Sports,17572827.5,2023-07-01,2027-02-01,Gaming,FALSE,active
3,1,Gucci,24646164.88,2021-06-01,2022-05-01,Luxury,FALSE,expired
4,2,FTX,13153174.89,2020-10-01,2025-05-01,Finance,FALSE,active
5,2,Red Bull,,2018-08-01,2019-03-01,Beverages,FALSE,terminated
6,2,American Express,12297395.36,2023-05-01,2025-11-01,Finance,FALSE,active
7,3,Apple,24416984.8,2021-03-01,2027-07-01,Technology,FALSE,active
8,3,Crypto.com,23909961.1,2023-04-01,2026-10-01,Finance,FALSE,expired
9,3,DraftKings,11707094.12,2021-09-01,2027-02-01,Sports Betting,FALSE,active
10,4,TAG Heuer,38057763.2,2022-03-01,2024-09-01,Watches,FALSE,expired
11,4,Under Armour,21627608.29,2023-10-01,2025-09-01,Apparel,FALSE,active
12,4,Gillette,7917268.54,2021-08-01,2025-09-01,Personal Care,FALSE,active
13,5,Samsung,,2019-10-01,2025-07-01,Technology,FALSE,active
14,5,Adidas,31912797.36,2018-08-01,2027-07-01,Apparel,FALSE,active
15,5,BMW,16415250.0,2021-06-01,2028-07-01,Automotive,FALSE,active
16,6,Emporio Armani,6797938.84,2018-03-01,,Fashion,FALSE,active
17,6,Hugo Boss,14840432.83,2018-05-01,2028-09-01,Fashion,FALSE,active
18,6,Titleist,3688992.2,2019-05-01,2022-02-01,Golf Equipment,FALSE,expired
19,7,Puma,19379078.49,2018-04-01,2019-02-01,Apparel,FALSE,expired
20,7,Hugo Boss,11954581.11,2023-12-01,,Fashion,FALSE,active
21,7,Mercedes-Benz,10792221.09,2018-03-01,2027-04-01,Automotive,FALSE,active
22,8,L'Oreal,10635229.27,2019-05-01,2022-09-01,Personal Care,FALSE,expired
23,8,Beats by Dre,9157820.55,2018-09-01,2026-11-01,Technology,FALSE,active
24,8,Netflix,,2020-11-01,2028-09-01,Entertainment,FALSE,active
25,9,Mercedes-Benz,10323451.41,2021-04-01,2023-12-01,Automotive,FALSE,expired
26,9,Louis Vuitton,20598331.48,2018-09-01,2028-09-01,Luxury,FALSE,active
27,9,Samsung,14578400.01,2020-11-01,,Technology,FALSE,active
28,10,Gatorade,10328759.81,2018-02-01,2021-12-01,Beverages,FALSE,expired
29,10,Under Armour,15043054.7,2019-06-01,2020-01-01,Apparel,FALSE,terminated
30,10,Subway,2726567.49,2023-02-01,2028-04-01,Food,FALSE,active
31,11,Pepsi,13968713.63,2021-08-01,2027-05-01,Beverages,FALSE,active
32,11,BMW,9076899.24,2018-12-01,2027-04-01,Automotive,FALSE,active
33,11,Red Bull,6362685.77,2019-12-01,2020-05-01,Beverages,FALSE,expired
34,12,Gillette,5828365.29,2019-07-01,2026-08-01,Personal Care,FALSE,active
35,12,Procter & Gamble,10203188.86,2021-12-01,2028-08-01,Personal Care,FALSE,active
36,12,Mercedes-Benz,13462316.36,2023-09-01,2026-09-01,Automotive,FALSE,active
37,13,Under Armour,,2023-01-01,2028-03-01,Apparel,FALSE,active
38,13,Callaway,4617875.22,2018-04-01,,Golf Equipment,FALSE,active
39,13,Puma,19652743.1,2021-11-01,2025-01-01,Apparel,FALSE,active
40,14,Mercedes-Benz,11470632.35,2020-01-01,,Automotive,FALSE,active
41,14,Nike,24667062.53,2019-10-01,2027-06-01,Apparel,TRUE,active
42,14,Adidas,24714928.5,2022-04-01,2026-05-01,Apparel,TRUE,active
43,15,Porsche,12647504.68,2021-01-01,2025-12-01,Automotive,FALSE,active
44,15,Puma,17998300.72,2020-10-01,2025-04-01,Apparel,FALSE,active
45,15,New Balance,14010876.68,2021-05-01,2025-11-01,Apparel,FALSE,active
46,16,Titleist,3098705.34,2020-01-01,2023-03-01,Golf Equipment,FALSE,expired
47,16,L'Oreal,10513526.82,2021-02-01,2022-03-01,Personal Care,FALSE,terminated
48,16,Hugo Boss,11729686.5,2021-11-01,2027-07-01,Fashion,FALSE,active
49,17,Hublot,18327293.89,2018-07-01,2019-06-01,Watches,FALSE,expired
50,17,New Balance,12038765.57,2022-07-01,2023-01-01,Apparel,FALSE,terminated
51,17,TaylorMade,7353553.26,2021-08-01,2023-09-01,Golf Equipment,FALSE,expired
52,18,FTX,7558626.86,2018-10-01,2019-04-01,Finance,FALSE,terminated
53,18,Visa,10278651.2,2019-07-01,2026-12-01,Finance,FALSE,active
54,18,Dior,16328402.74,2020-08-01,2021-05-01,Luxury,FALSE,terminated
55,19,Rolex,17810876.75,2022-09-01,,Watches,TRUE,active
56,19,Hublot,16767707.83,2021-01-01,2022-07-01,Watches,FALSE,terminated
57,19,New Balance,10408496.7,2022-04-01,2026-11-01,Apparel,FALSE,active
58,20,Hublot,13318271.37,2019-07-01,2020-07-01,Watches,FALSE,terminated
59,20,Subway,2924442.57,2020-05-01,2023-11-01,Food,FALSE,expired
60,20,Samsung,15705925.59,2021-02-01,2023-01-01,Technology,FALSE,expired
61,21,BMW,4719559.82,2021-06-01,2026-05-01,Automotive,FALSE,active
62,21,EA Sports,6989115.69,2020-03-01,2027-05-01,Gaming,FALSE,active
63,21,DraftKings,3582256.15,2019-06-01,2027-07-01,Sports Betting,FALSE,active
64,22,L'Oreal,7189059.7,2022-01-01,2028-12-01,Personal Care,FALSE,active
