agent_id,athlete_id,agent_name,agency_name,commission_rate,contract_start,years_represented,total_deals_managed,email
1,1,Aaron Mintz,Creative Artists Agency,4.0,2014-04-01,10,14,agent1@creativeartistsagencysports.com
2,2,SFX Sports,SFX Entertainment,4.0,2017-01-01,7,10,agent2@sfxentertainmentsports.com
3,3,Ali Abdelaziz,Dominance MMA Management,15.0,2015-02-01,9,5,agent3@dominancemmamanagementsports.com
4,4,Al Haymon,Premier Boxing Champions,10.0,2017-10-01,7,22,agent4@premierboxingchampionssports.com
5,5,CAA Sports,Creative Artists Agency,4.0,2017-06-01,7,27,agent5@creativeartistsagencysports.com
6,6,Eddie Hearn,Matchroom Boxing,10.0,2021-10-01,3,11,agent6@matchroomboxingsports.com
7,7,Essentially Sports Group,ESG,5.0,2012-09-01,12,43,agent7@esgsports.com
8,8,Bob Arum,Top Rank,10.0,2022-08-01,2,45,agent8@topranksports.com
9,9,Bob Arum,Top Rank,10.0,2012-12-01,12,23,agent9@topranksports.com
10,10,Jonathan Barnett,SEG Football,8.0,2022-10-01,2,45,agent10@segfootballsports.com
11,11,WME Sports,William Morris Endeavor,4.5,2016-07-01,8,17,agent11@williammorrisendeavorsports.com
12,12,Octavio Jimenez,PBC Boxing,10.0,2015-09-01,9,5,agent12@pbcboxingsports.com
13,13,IMG Sports,IMG Academy,5.0,2017-12-01,7,20,agent13@imgacademysports.com
14,14,Lagardere Sports,Lagardere Group,5.0,2011-03-01,13,4,agent14@lagarderegroupsports.com
15,15,CAA Sports,Creative Artists Agency,4.0,2020-12-01,4,22,agent15@creativeartistsagencysports.com
16,16,Ali Abdelaziz,Dominance MMA Management,15.0,2020-02-01,4,44,agent16@dominancemmamanagementsports.com
17,17,Ali Abdelaziz,Dominance MMA Management,15.0,2011-04-01,13,42,agent17@dominancemmamanagementsports.com
18,18,Ali Abdelaziz,Dominance MMA Management,15.0,2019-01-01,5,39,agent18@dominancemmamanagementsports.com
19,19,Dana White,UFC / Endeavor,15.0,2013-08-01,11,35,agent19@ufcendeavorsports.com
20,20,Jorge Mendes,Gestifute,10.0,2011-11-01,13,37,agent20@gestifutesports.com
21,21,Mark Steinberg,Excel Sports Management,4.5,2010-05-01,14,16,agent21@excelsportsmanagementsports.com
22,22,Rich Paul,Klutch Sports Group,4.0,2021-10-01,3,31,agent22@klutchsportsgroupsports.com
23,23,Jonathan Barnett,SEG Football,8.0,2022-09-01,2,41,agent23@segfootballsports.com
24,24,Todd France,Excel Sports Management,4.0,2016-10-01,8,5,agent24@excelsportsmanagementsports.com
